Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
BERKELEY INN (THE),2003,4.46,-122.285166,37.869841,196363,19.636278
BOLLINGER CREST APARTMENTS,2001,2.09,-121.9481,37.7582,61776,6.177576
BOULDERS (THE),1972,2.98,-122.0593002,37.9160462,106211,10.621089
BOULEVARD APARTMENTS,1978,2.67,-121.9728933,37.5393348,77205,7.720501
BOULEVARD APARTMENTS,1979,2.07,-122.061323,37.941952,108436,10.843591
BRIARWOOD,1978,1.92,-122.0660634,37.9712537,106892,10.689237
BRIARWOOD,1961,1.58,-121.7545351,37.6796953,38255,3.825523
BRIARWOOD AT CENTRAL PARK,1979,3.11,-121.9660569,37.5339206,80329,8.032936
BRIDGE (THE),1985,2.35,-122.1128424,37.6354275,91526,9.152552
BRIDGE COURT,1998,2.35,-122.2806993,37.8307908,290986,29.098618
BRIDGEBAY,1981,2.62,-122.0539963,37.5414699,61065,6.106474
BRIDGEPOINTE,1998,2.98,-122.2837482,37.5630216, , 
BRIDGEPORT APARTMENTS,1987,2.5,-122.0351422,37.5336592,64935,6.493495
BRIDGES,1988,2.74,-121.9505253,37.7618018,62168,6.216789
BROADWAY,1961,1.75,-122.2220679,37.4865819, , 
BROADWAY TOWERS,1986,1.57,-122.041143,37.976726,103622,10.362223
BROOKSIDE,1985,2.52,-122.0753553,37.9767775,101340,10.134047
BROOKVALE CHATEAU,1978,2.19,-122.019501,37.564289,80884,8.088416
BURLINGAME TOWERS,1962,2.7,-122.352149,37.57745, , 
CALIFORNIAN APARTMENTS,1962,1.79,-122.2590186,37.7591205,148527,14.852705
CAMDEN VILLAGE,1964,2.08,-122.008835,37.551288,76039,7.603864
CAMDEN VILLAGE,1969,2.13,-121.994956,37.558867,76122,7.612217
CAMELBACK EAST,1968,1.87,-122.033812,37.920149,96388,9.638822
CAMELBACK NORTH TOWNHOUSES,1975,1.02,-122.0728982,37.9754941,102906,10.290623
CAMELBACK SOUTH,1970,1.95,-122.0475555,37.8810558,77490,7.749001
CANYON CREEK,1985,2.24,-121.9766863,37.7709526,57480,5.748047
CANYON OAKS AT WINDEMERE,2005,2.14,-121.906429,37.765482,52025,5.202466
CANYON WOODS,1987,2.57,-121.949628,37.765372,59406,5.94058
CARLMONT HEIGHTS,1974,2.42,-122.296453,37.5083259, , 
CARLMONT WOODS,1971,3.72,-122.3006598,37.5075864, , 
CARMEL CREEKWOOD,1980,2.18,-122.0827118,37.6800711,97303,9.730292
CARMEL HOUSE,1962,2.72,-122.057162,37.902558,97787,9.77869
CARRIAGE HOUSE,1973,2.24,-121.9903828,37.5503315,79206,7.920649
CARRINGTON APARTMENTS,1972,2.39,-121.9978799,37.53715,78661,7.86611
CASA ARROYO,1972,2.31,-121.9946886,37.578018,64291,6.429109
CASTLEWOOD,1973,2.18,-122.0569683,37.9017887,97644,9.764443
CATALINA CREST,1964,2.06,-121.7828126,37.6630779,35786,3.57861
CEDAR GROVE,1958,1.96,-122.169427,37.72235,112159,11.215923
CEDARS/CEDARS NORTH (THE),1980,1.59,-122.062073,37.687059,83577,8.357713
CHARDONNAY GARDENS,1989,2.24,-121.7569649,37.6746015,37456,3.745566
CHATEAU MANOR,1964,1.58,-122.1401344,37.6859087,106614,10.661447
CHESAPEAKE POINTE,1964,3.09,-122.2853913,37.5518103, , 
CHRISTINA,1963,2.04,-122.317663,37.555856, , 
CITY CENTER APARTMENTS,1999,2.43,-122.086764,37.6678221,102286,10.228605
CITY SOUTH,1970,3.57,-122.282998,37.544663, , 
CITY WALK APARTMENTS,1959,1.73,-122.0414277,37.9713247,105063,10.506348
CITYVIEW,1976,2.16,-122.0653214,37.6606707,88372,8.837175
CIVIC PLAZA,1988,1.98,-122.311445,37.917215,118731,11.873084
CIVIC SQUARE,1987,2.43,-121.8803184,37.6559086,53352,5.335186
CLAYTON CREEK,1986,1.87,-121.961426,37.955176,57248,5.724761
CLUB VIEW,1965,2.6,-122.4355256,37.6529105, , 
COLONIAL GARDENS,1962,2.59,-122.3250987,37.5790153, , 
CONNOLLY STATION,2013,2.74,-121.9261331,37.7033485,75494,7.549354
CORNERSTONE,2001,1.58,-121.888331,38.008739,23254,2.325364
CORONADO / PARKWAY,1965,2.42,-121.9880683,37.5497636,79254,7.925361
COTTON WOOD,1988,2.4,-121.9132395,37.7208843,71083,7.108349
COUNTRY BROOK,1986,2.47,-121.9425481,37.7587874,63588,6.358832
COUNTRY CLUB,1971,1.79,-122.0123092,37.5534866,75579,7.557893
COUNTRY CLUB,1967,2.11,-122.4278525,37.6438614, , 
COUNTRY CLUB APARTMENTS,1970,4.84,-122.3234208,37.580134, , 
COUNTRYWOOD APARTMENT HOMES,1972,2.49,-122.0169724,37.554435,75998,7.599756
COURTYARD,1964,1.77,-122.0818585,37.6641377,101260,10.125958
